0x20 (32): adv= 209 empty
0x21 (33): adv= 217 x:60..157 y:0..490
0x22 (34): adv= 226 x:60..166 y:250..458
0x23 (35): adv= 179 x:-269..140 y:-135..360
0x24 (36): adv= 270 x:-60..235 y:0..359
0x25 (37): adv= 524 x:60..464 y:0..490
0x26 (38): adv= 428 x:60..368 y:144..192
0x27 (39): adv= 236 x:60..176 y:215..423
0x28 (40): adv= 343 x:60..283 y:-159..543
0x29 (41): adv= 343 x:60..283 y:-159..543
0x2a (42): adv= 527 x:-60..507 y:0..375
0x2b (43): adv= 371 x:60..311 y:55..306
0x2c (44): adv= 236 x:60..176 y:-112..96
0x2d (45): adv=  40 x:0..5 y:0..5
0x2e (46): adv= 217 x:60..157 y:0..96
0x2f (47): adv= 367 x:60..307 y:-122..474
0x30 (48): adv= 543 x:49..494 y:-14..491
0x31 (49): adv= 544 x:56..488 y:-14..491
0x32 (50): adv= 543 x:53..490 y:-4..472
0x33 (51): adv= 544 x:90..454 y:-24..491
0x34 (52): adv= 543 x:64..479 y:-24..499
0x35 (53): adv= 544 x:44..500 y:-16..491
0x36 (54): adv= 544 x:58..486 y:-9..486
0x37 (55): adv= 543 x:62..481 y:-14..491
0x38 (56): adv= 544 x:40..504 y:-19..486
0x39 (57): adv= 544 x:50..494 y:-19..482
0x3a (58): adv= 217 x:60..157 y:0..317
0x3b (59): adv= 236 x:60..176 y:-112..317
0x3c (60): adv=  40 x:-474..-60 y:-443..-34
0x3d (61): adv= 428 x:60..368 y:67..250
0x3e (62): adv= 413 x:-161..392 y:185..368
0x3f (63): adv= 428 x:60..368 y:0..490
0x40 (64): adv= 232 x:39..193 y:0..346
0x41 (65): adv= 514 x:35..478 y:0..356
0x42 (66): adv= 551 x:34..515 y:0..356
0x43 (67): adv= 470 x:14..429 y:-58..356
0x44 (68): adv= 795 x:7..757 y:0..487
0x45 (69): adv= 496 x:33..466 y:0..481
0x46 (70): adv= 763 x:33..726 y:0..481
0x47 (71): adv= 447 x:21..406 y:0..488
0x48 (72): adv= 447 x:21..406 y:0..639
0x49 (73): adv= 514 x:34..477 y:-7..356
0x4a (74): adv= 466 x:40..444 y:0..356
0x4b (75): adv= 466 x:40..444 y:0..500
0x4c (76): adv= 549 x:-9..549 y:0..490
0x4d (77): adv= 182 x:17..334 y:0..355
0x4e (78): adv= 449 x:-269..429 y:-135..375
0x4f (79): adv=  40 x:-419..-4 y:-217..-34
0x50 (80): adv= 379 x:11..370 y:-259..332
0x51 (81): adv= 511 x:24..473 y:-87..356
0x52 (82): adv= 334 x:21..500 y:-87..360
0x53 (83): adv= 558 x:23..521 y:-86..448
0x54 (84): adv= 556 x:26..519 y:-87..563
0x55 (85): adv=  40 x:-397..-60 y:-308..-21
0x56 (86): adv= 217 x:34..362 y:0..360
0x57 (87): adv= 406 x:40..368 y:0..519
0x58 (88): adv= 405 x:40..368 y:0..625
0x59 (89): adv=  40 x:-369..-60 y:-299..-30
