క	aæ
కా	aé
కి	aì
కీ	aí
కు	aî
కూ	aï
కృ	a#
కౄ	a#
కె	að
కే	añ
కై	aò
కొ	aö
కో	aø
కౌ	aú
కం	aæÆ
కః	aæ:
క్	a¢
ఖ	Q
ఖా	Qé
ఖి	Qì
ఖీ	Qí
ఖు	Qî
ఖూ	Qï
ఖృ	Q#
ఖౄ	Q#
ఖె	Qð
ఖే	Qñ
ఖై	Qò
ఖొ	Qö
ఖో	Qø
ఖౌ	Qú
ఖం	QÆ
ఖః	Q:
ఖ్	Q¢
గ	Væ
గా	Vé
గి	X
గీ	Y
గు	Vî
గూ	Vï
గృ	V#
గౄ	V#
గె	Vð
గే	Vñ
గై	Vò
గొ	Vö
గో	Vø
గౌ	Vú
గం	VæÆ
గః	Væ:
గ్	V¢
ఘ	Ræ
ఘా	Ré
ఘి	Rì
ఘీ	Rí
ఘు	Rî
ఘూ	Rï
ఘృ	R#
ఘౄ	R#
ఘె	Rð
ఘే	Rñ
ఘై	Rò
ఘొ	Rö
ఘో	Rø
ఘౌ	Rú
ఘం	RæÆ
ఘః	Ræ:
ఘ్	R¢
ఙ	Z
ఙా	Zé
ఙి	Zì
ఙీ	Zí
ఙు	Zî
ఙూ	Zï
ఙృ	Z#
ఙౄ	Z#
ఙె	Zð
ఙే	Zñ
ఙై	Zò
ఙొ	Zö
ఙో	Zø
ఙౌ	Zú
ఙం	ZÆ
ఙః	Z:
ఙ్	Z¢
చ	^æ
చా	^é
చి	_
చీ	`
చు	^î
చూ	^ï
చృ	^#
చౄ	^#
చె	^ð
చే	^ñ
చై	^ò
చొ	^ö
చో	^ø
చౌ	^ú
చం	^æÆ
చః	^æ:
చ్	^¢
ఛ	b
ఛా	bé
ఛి	bì
ఛీ	bí
ఛు	bî
ఛూ	bï
ఛృ	b#
ఛౄ	b#
ఛె	bð
ఛే	bñ
ఛై	bò
ఛొ	bö
ఛో	bø
ఛౌ	bú
ఛం	bÆ
ఛః	b:
ఛ్	b¢
జ	\æ
జా	\é
జి	h
జీ	i
జు	k
జూ	l
జృ	\#
జౄ	\#
జె	\ð
జే	\ñ
జై	\ò
జొ	\ö
జో	\ø
జౌ	\ú
జం	\æÆ
జః	\æ:
జ్	\¢
ఝ	m
ఝా	mé
ఝి	mì
ఝీ	mí
ఝు	mî
ఝూ	mï
ఝృ	m#
ఝౄ	m#
ఝె	mð
ఝే	mñ
ఝై	mò
ఝొ	mö
ఝో	mø
ఝౌ	mú
ఝం	mÆ
ఝః	m:
ఝ్	m¢
ఞ	p
ఞా	pé
ఞి	pì
ఞీ	pí
ఞు	pî
ఞూ	pï
ఞృ	p#
ఞౄ	p#
ఞె	pð
ఞే	pñ
ఞై	pò
ఞొ	pö
ఞో	pø
ఞౌ	pú
ఞం	pÆ
ఞః	p:
ఞ్	p¢
ట	r
టా	ré
టి	rì
టీ	rí
టు	rî
టూ	rï
టృ	r#
టౄ	r#
టె	rð
టే	rñ
టై	rò
టొ	rö
టో	rø
టౌ	rú
టం	rÆ
టః	r:
ట్	r¢
ఠ	u
ఠా	ué
ఠి	v
ఠీ	w
ఠు	uî
ఠూ	uï
ఠృ	u#
ఠౄ	u#
ఠె	uð
ఠే	uñ
ఠై	uò
ఠొ	uö
ఠో	uø
ఠౌ	uú
ఠం	uÆ
ఠః	u:
ఠ్	u¢
డ	yæ
డా	yé
డి	yì
డీ	yí
డు	yî
డూ	yï
డృ	y#
డౄ	y#
డె	yð
డే	yñ
డై	yò
డొ	yö
డో	yø
డౌ	yú
డం	yæÆ
డః	yæ:
డ్	y¢
ఢ	|
ఢా	|é
ఢి	|ì
ఢీ	|í
ఢు	|î
ఢూ	|ï
ఢృ	|#
ఢౄ	|#
ఢె	|ð
ఢే	|ñ
ఢై	|ò
ఢొ	|ö
ఢో	|ø
ఢౌ	|ú
ఢం	|Æ
ఢః	|:
ఢ్	|¢
ణ	~æ
ణా	~é
ణి	~ì
ణీ	~í
ణు	~î
ణూ	~ï
ణృ	~#
ణౄ	~#
ణె	~ð
ణే	~ñ
ణై	~ò
ణొ	~ö
ణో	~ø
ణౌ	~ú
ణం	~æÆ
ణః	~æ:
ణ్	~¢
త	™æ
తా	™é
తి	†
తీ	¡
తు	™î
తూ	™ï
తృ	™#
తౄ	™#
తె	™ð
తే	™ñ
తై	™ò
తొ	™ö
తో	™ø
తౌ	™ú
తం	™æÆ
తః	™æ:
త్	™¢
థ	£æ
థా	£é
థి	£ì
థీ	£í
థు	£î
థూ	£ï
థృ	£#
థౄ	£#
థె	£ð
థే	£ñ
థై	£ò
థొ	£ö
థో	£ø
థౌ	£ú
థం	£æÆ
థః	£æ:
థ్	£¢
ద	§æ
దా	§é
ది	¨
దీ	©
దు	§î
దూ	§ï
దృ	§#
దౄ	§#
దె	§ð
దే	§ñ
