కా 4d+3e(0.8) 4d+ea(1.1) 4d+e9(1.8) 4d+2a(3.1) 4d+201d(3.7) 4d+201c(3.8) 4d+e2(4.9) 4d+56(5.1) 4d+d4(5.2) 4d+75(5.3)
కి 4d+ec(0.8) 4d+ec+e6(1.4) 4d+160(1.8) 4d+f3(2.5) 4d+160+e6(2.6) 4d+ee(2.9) 4d+d8(3.0) 4d+ee+e6(3.1) 4d+e8(3.1) 4d+2013(3.1)
కీ 4d+ee(1.3) 4d+ee+e6(1.6) 4d+ec(1.7) 4d+160(2.0) 4d+152(2.3) 4d+ec+e6(2.4) 4d+152+e6(2.6) 4d+160+e6(2.6) 4d+b2(2.9) 4d+2013(2.9)
కు 4d+c7(2.4) 4d+60(2.6) 4d+76(2.7) 4d+d2(2.8) 4d+b1(2.9) 4d+47(3.1) 4d+d0+e6(3.1) 4d+a8(3.3) 4d+c6+e6(3.3) 4d+af+e6(3.5)
కూ 4d+e0(3.5) 4d+df+e6(4.1) 4d+e0+e6(4.9) 4d+60+e6(5.1) 4d+d2+e6(5.1) 4d+b1+e6(5.3) 4d+6b+e6(5.4) 4d+2020(5.4) 4d+c7+e6(5.5) 4d+46(5.7)
కృ 4d+50(4.4) 4d+201e+e6(4.8) 4d+be(5.3) 4d+65(5.3) 4d+61(5.6) 4d+f3(5.7) 4d+a5(5.7) 4d+2c(5.8) 4d+7d(6.0) 4d+c2(6.1)
కె 4d+f0(2.2) 4d+e6+e6(2.6) 4d+ad+e6(2.6) 4d+e6(2.6) 4d+e8+e6(2.7) 4d+f0+e6(2.8) 4d+ec+e6(2.8) 4d+e8(2.9) 4d+ec(2.9) 4d+2d+e6(2.9)
కే 4d+f3(1.1) 4d+f3+e6(1.7) 4d+ec(2.0) 4d+160+e6(2.1) 4d+160(2.1) 4d+ed+e6(2.1) 4d+ec+e6(2.2) 4d+152+e6(2.2) 4d+2039+e6(2.3) 4d+152(2.4)
కై 4d+160(2.5) 4d+ec(2.8) 4d+d8(3.0) 4d+160+e6(3.0) 4d+ec+e6(3.1) 4d+c3(3.6) 4d+152+e6(3.6) 4d+ee(3.7) 4d+b2(3.8) 4d+ee+e6(3.8)
కొ 4d+6f(1.4) 4d+f6(1.6) 4d+178(1.6) 4d+fa(2.8) 4d+178+e6(2.9) 4d+6f+e6(2.9) 4d+f6+e6(3.6) 4d+e7+e6(3.7) 4d+f2+e6(3.8) 4d+f2(4.0)
కో 4d+f8(1.2) 4d+5a(1.3) 4d+5a+e6(2.4) 4d+f8+e6(2.7) 4d+f5+e6(3.9) 4d+2014+e6(3.9) 4d+2018+e6(4.3) 4d+f5(4.4) 4d+27+e6(4.4) 4d+e7+e6(4.4)
కౌ 4d+6f(1.0) 4d+178(1.6) 4d+f6(1.7) 4d+fa(2.1) 4d+6f+e6(2.4) 4d+178+e6(3.0) 4d+f6+e6(3.5) 4d+2dc(3.6) 4d+f2+e6(3.7) 4d+fa+e6(3.8)
