# Shree-Tel-0908  glyphs=219  plat3 codes=217
# classes: ABOVE=16  BASE=166  BELOW=22  BLANK=1  DUMMY=9  MARK=3
# overhangBase=44  tallerTwin=17  runs=38

--- run  0  [0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2a 0x2b 0x2c]
  0x0021 !       byte=0x1a BASE   adv=217  ... bbox=(60,0)-(157,490)
  0x0022 \u0022  byte=0x1b BASE   adv=226  ... bbox=(60,250)-(166,458)
  0x0023 #       byte=0x21 BASE   adv=179  ... bbox=(-269,-135)-(140,360)
  0x0024 $       byte=0x22 BASE   adv=270  ... bbox=(-60,0)-(235,359)
  0x0025 %       byte=0x23 BASE   adv=524  ... bbox=(60,0)-(464,490)
  0x0026 &       byte=0x24 BASE   adv=428  ... bbox=(60,144)-(368,192)
  0x0027 \u0027  byte=0x25 BASE   adv=236  ... bbox=(60,215)-(176,423)
  0x0028 (       byte=0x26 BASE   adv=343  .D. bbox=(60,-159)-(283,543)
  0x0029 )       byte=0x27 BASE   adv=343  .D. bbox=(60,-159)-(283,543)
  0x002a *       byte=0x28 BASE   adv=527  ... bbox=(-60,0)-(507,375)
  0x002b +       byte=0x29 BASE   adv=371  ... bbox=(60,55)-(311,306)
  0x002c ,       byte=0x2a BASE   adv=236  ... bbox=(60,-112)-(176,96)
--- run  1  [0x2e 0x2f 0x30 0x31 0x32 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x3a 0x3b 0x3c]
  0x002e .       byte=0x2c BASE   adv=217  ... bbox=(60,0)-(157,96)
  0x002f /       byte=0x2d BASE   adv=367  ... bbox=(60,-122)-(307,474)
  0x0030 0       byte=0x2e BASE   adv=543  ... bbox=(49,-14)-(494,491)
  0x0031 1       byte=0x2f BASE   adv=544  ... bbox=(56,-14)-(488,491)
  0x0032 2       byte=0x30 BASE   adv=543  ... bbox=(53,-4)-(490,472)
  0x0033 3       byte=0x31 BASE   adv=544  ... bbox=(90,-24)-(454,491)
  0x0034 4       byte=0x32 BASE   adv=543  ... bbox=(64,-24)-(479,499)
  0x0035 5       byte=0x33 BASE   adv=544  ... bbox=(44,-16)-(500,491)
  0x0036 6       byte=0x34 BASE   adv=544  ... bbox=(58,-9)-(486,486)
  0x0037 7       byte=0x35 BASE   adv=543  ... bbox=(62,-14)-(481,491)
  0x0038 8       byte=0x36 BASE   adv=544  ... bbox=(40,-19)-(504,486)
  0x0039 9       byte=0x37 BASE   adv=544  ... bbox=(50,-19)-(494,482)
  0x003a :       byte=0x38 BASE   adv=217  ... bbox=(60,0)-(157,317)
  0x003b ;       byte=0x39 BASE   adv=236  ... bbox=(60,-112)-(176,317)
  0x003c <       byte=0x3a BELOW  adv=40   .D. bbox=(-474,-443)-(-60,-34)
