క్క	aŒæ
క్ఖ	aUæ
క్గ	aWæ
క్ఘ	aœæ
క్ఙ	aZæ
క్చ	aeæ
క్ఛ	adæ
క్జ	ajæ
క్ఝ	anæ
క్ఞ	aqæ
క్ట	asæ
క్ఠ	axæ
క్డ	azæ
క్ఢ	a{æ
క్ణ	aŠæ
క్త	aªæ
క్థ	a¦æ
క్ద	aªæ
క్ధ	aÉæ
క్న	aÝæ
క్ప	aµæ
క్ఫ	a¹æ
క్బ	a¾æ
క్భ	aÂæ
క్మ	ašæ
క్య	aŸæ
క్ర	a–æ
క్ల	aÏæ
క్వ	aÓæ
క్శ	aØæ
క్ష	„
క్స	aÞæ
క్హ	aåæ
క్ళ	aåæ
క్క్ష	a<æ
క్ఱ	a‚æ
ఖ్క	QŒ
ఖ్ఖ	QU
ఖ్గ	QW
ఖ్ఘ	Qœ
ఖ్ఙ	QZ
ఖ్చ	Qe
ఖ్ఛ	Qd
ఖ్జ	Qj
ఖ్ఝ	Qn
ఖ్ఞ	Qq
ఖ్ట	Qs
ఖ్ఠ	Qx
ఖ్డ	Qz
ఖ్ఢ	Q{
ఖ్ణ	QŠ
ఖ్త	Qª
ఖ్థ	Q¦
ఖ్ద	Qª
ఖ్ధ	QÉ
ఖ్న	QÝ
ఖ్ప	Qµ
ఖ్ఫ	Q¹
ఖ్బ	Q¾
ఖ్భ	QÂ
ఖ్మ	Qš
ఖ్య	QŸ
ఖ్ర	Q–
ఖ్ల	QÏ
ఖ్వ	QÓ
ఖ్శ	QØ
ఖ్ష	QÛ
ఖ్స	QÞ
ఖ్హ	Qå
ఖ్ళ	Qå
ఖ్క్ష	Q<
ఖ్ఱ	Q‚
గ్క	VŒæ
గ్ఖ	VUæ
గ్గ	VWæ
గ్ఘ	Vœæ
గ్ఙ	VZæ
గ్చ	Veæ
గ్ఛ	Vdæ
గ్జ	Vjæ
గ్ఝ	Vnæ
గ్ఞ	Vqæ
గ్ట	Vsæ
గ్ఠ	Vxæ
గ్డ	Vzæ
గ్ఢ	V{æ
గ్ణ	VŠæ
గ్త	Vªæ
గ్థ	V¦æ
గ్ద	Vªæ
గ్ధ	VÉæ
గ్న	VÝæ
గ్ప	Vµæ
గ్ఫ	V¹æ
గ్బ	V¾æ
గ్భ	VÂæ
గ్మ	Všæ
గ్య	VŸæ
గ్ర	V–æ
గ్ల	VÏæ
గ్వ	VÓæ
గ్శ	VØæ
గ్ష	VÛæ
గ్స	VÞæ
గ్హ	Våæ
గ్ళ	Våæ
గ్క్ష	V<æ
గ్ఱ	V‚æ
ఘ్క	RŒæ
ఘ్ఖ	RUæ
ఘ్గ	RWæ
ఘ్ఘ	Rœæ
ఘ్ఙ	RZæ
ఘ్చ	Reæ
ఘ్ఛ	Rdæ
ఘ్జ	Rjæ
ఘ్ఝ	Rnæ
ఘ్ఞ	Rqæ
ఘ్ట	Rsæ
ఘ్ఠ	Rxæ
ఘ్డ	Rzæ
ఘ్ఢ	R{æ
